molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
263.25,2.1,92.79,2,5,263.249,2.1017,92.79,2.0,5.0,4.0,0,True,True,High-priority
263.38,3.53,38.33,1,2,263.381,3.527800000000002,38.33,1.0,2.0,8.0,0,True,True,High-priority
264.32,1.49,66.76,2,4,264.3209999999999,1.4939999999999998,66.76,2.0,4.0,1.0,0,True,True,High-priority
264.32,1.61,63.6,1,4,264.321,1.6144,63.6,1.0,4.0,0.0,0,True,True,High-priority
264.32,3.14,66.76,2,3,264.321,3.1422000000000017,66.76,2.0,3.0,2.0,0,True,True,High-priority
264.32,1.18,66.76,2,4,264.321,1.1821999999999997,66.76,2.0,4.0,0.0,0,True,True,High-priority
264.32,1.04,66.76,2,4,264.321,1.0381,66.76,2.0,4.0,0.0,0,True,True,High-priority
264.32,1.68,66.76,2,4,264.321,1.6754999999999998,66.75999999999999,2.0,4.0,0.0,0,True,True,High-priority
264.37,4.68,17.07,0,1,264.368,4.681900000000004,17.07,0.0,1.0,7.0,0,True,True,High-priority
264.41,2.44,32.34,1,3,264.413,2.4368,32.34,1.0,3.0,6.0,0,True,True,High-priority
264.71,3.11,39.44,0,3,264.708,3.113900000000002,39.44,0.0,3.0,1.0,0,True,True,High-priority
265.35,2.41,47.56,1,3,265.353,2.4086000000000007,47.56,1.0,3.0,7.0,0,True,True,High-priority
265.36,0.46,92.26,3,5,265.357,0.4591,92.26,3.0,5.0,4.0,0,True,True,High-priority
266.09,3.52,45.73,1,3,266.094,3.5172000000000017,45.73,1.0,3.0,2.0,0,True,True,High-priority
266.3,0.3,88.52,2,5,266.297,0.2977999999999994,88.52,2.0,5.0,6.0,0,True,True,High-priority
266.34,1.41,66.76,2,4,266.33699999999993,1.4062,66.76,2.0,4.0,1.0,0,True,True,High-priority
266.35,2.83,56.21,1,4,266.348,2.82756,56.21,1.0,3.0,2.0,0,True,True,High-priority
266.39,3.53,15.6,0,2,266.388,3.534600000000003,15.6,0.0,2.0,1.0,0,True,True,High-priority
268.27,2.82,75.21,2,3,268.272,2.8225000000000007,75.21000000000001,2.0,3.0,3.0,0,True,True,High-priority
268.31,3.46,43.37,0,3,268.312,3.464900000000002,43.370000000000005,0.0,3.0,1.0,0,True,True,High-priority
268.35,1.81,77.76,3,3,268.3529999999999,1.8146,77.76,3.0,3.0,3.0,0,True,True,High-priority
268.35,2.27,77.76,3,3,268.35299999999995,2.2657,77.76,3.0,3.0,3.0,0,True,True,High-priority
268.35,2.73,47.92,1,4,268.353,2.7314000000000007,47.92,1.0,4.0,3.0,0,True,True,High-priority
269.3,-0.79,102.18,5,6,269.297,-0.7931800000000009,102.18,5.0,6.0,3.0,0,True,True,High-priority
269.3,1.89,58.56,2,3,269.3,1.8896,58.56,2.0,3.0,2.0,0,True,True,High-priority
270.24,1.34,87.74,2,5,270.24,1.3353199999999998,87.74000000000001,2.0,5.0,0.0,0,True,True,High-priority
270.24,3.67,86.28,0,4,270.244,3.6734000000000018,86.28,0.0,4.0,4.0,0,True,True,High-priority
270.25,-2.19,131.2,5,9,270.245,-2.189399999999999,131.20000000000002,5.0,9.0,2.0,0,True,True,High-priority
270.33,3.51,54.37,1,3,270.3279999999999,3.5115000000000025,54.37,1.0,3.0,0.0,0,True,True,High-priority
271.27,2.27,78.62,1,5,271.272,2.2746000000000004,78.62,1.0,5.0,3.0,0,True,True,High-priority
271.36,3.42,30.49,1,3,271.36,3.424800000000002,30.49,1.0,3.0,7.0,0,True,True,High-priority
271.36,-1.07,73.83,3,5,271.36099999999993,-1.0653999999999977,73.83,3.0,5.0,4.0,0,True,True,High-priority
272.31,4.16,46.01,1,3,272.307,4.155600000000002,46.010000000000005,1.0,3.0,1.0,0,True,True,High-priority
